name,chainid,identificationcode
ethereum,1,9001
arbitrum,42161,9002
zksync_lite,zksync,9003
starknet,SN_MAIN,9004
polygon,137,9006
optimism,10,9007
immutable_x,immutableX,9008
loopring,loopring,9009
metis,1088,9010
zkspace,ZKSpace,9012
zksynce_era,324,9014
bsc,56,9015
arbitrum_nova,42170,9016
polygon_zkevm,1101,9017
scroll,534352,9019
taiko,167000,9020
base,8453,9021
linea,59144,9023
mantle,5000,9024
opbnb,204,9025
x_layer,196,9027
zora,7777777,9030
manta,169,9031
kroma,255,9036
zkfair,42766,9038
blast,81457,9040
zetachain,7000,9041
b2_network,223,9046
mode,34443,9047
zklink_nova,810180,9048
solana,SOLANA_MAIN,9051
morph,2818,9052
proof_of_play_apex,70700,9053
merlin,4200,9054
bevm,11501,9055
ton,TON,9056
bob,60808,9057
core_blockchain,1116,9058
bitlayer,200901,9059
bouncebit,6001,9064
eclipse,ECLIPSE_MAIN,9065
optopia,62050,9066
cyber,7560,9067
mint,185,9068
tron,728126428,9079
matchain,698,9084
lisk,1135,9086
redstone,690,9087
kaia,8217,9089
fuel,FUEL_MAIN,9094
worldchain,480,9095
